id_belongs_to_collection,name_belongs_to_collection,id
10194.0,Toy Story Collection,862
,,8844
119050.0,Grumpy Old Men Collection,15602
96871.0,Father of the Bride Collection,31357
645.0,James Bond Collection,11862
117693.0,Balto Collection,949
3167.0,Ace Ventura Collection,11860
91698.0,Chili Palmer Collection,45325
9435.0,Babe Collection,9091
9818.0,Mortal Kombat Collection,710
136214.0,Pocahontas Collection,9087
124935.0,The Lawnmower Man Collection,12110
43563.0,Friday Collection,21032
10924.0,From Dusk Till Dawn Collection,10858
122017.0,Screamers Collection,1408
256377.0,The Muppet Collection,524
91430.0,The Neverending Story Collection,4584
14890.0,Bad Boys Collection,5
120794.0,Batman Collection,9273
439053.0,Brooklyn Cigar Store Collection,11517
8819.0,Casper Collection,8012
9649.0,Mexico Trilogy,1710
1570.0,Die Hard Collection,9691
259398.0,Teenage Apocalypse Trilogy,12665
9328.0,Free Willy Collection,451
286162.0,Power Rangers Collection,16420
328073.0,Síť (kolekce),9263
9068.0,The Prophecy Collection,17015
247294.0,Showgirls Collection,902
9887.0,Species Collection,37557
112399.0,Under Siege Collection,9909
23170.0,Burnt by the Sun Trilogy,63
123800.0,Before... Collection,78802
182813.0,Clerks Collection,9598
96665.0,Dumb and Dumber Collection,47018
410261.0,A Goofy Movie Collection,687
217704.0,The Vampire Chronicles,139405
10.0,Star Wars Collection,33689
286948.0,Nemesis Collection,9603
300546.0,Once were Warriors Collection,34615
48188.0,Poison Ivy Collection,31174
131.0,Three Colors Collection,11443
144200.0,Swan Princess Series,35196
53159.0,The Santa Clause Collection,9312
115142.0,Tales from the Crypt Collection,577
115570.0,Star Trek: The Next Generation Collection,11861
192492.0,The Jack Ryan Collection,807
9436.0,The Crow Collection,10530
351684.0,The Flintstones (Live-Action) Collection,8391
94032.0,The Lion King Collection,629
8581.0,A Nightmare on Elm Street Collection,117164
43072.0,The Mask Collection,11448
37139.0,Naked Gun Collection,49133
167985.0,Richie Rich Collection,26441
43064.0,Speed Collection,97406
170452.0,Timecop Collection,124057
261203.0,Street Fighter,9089
439409.0,Fear Collection,11010
8050.0,Highlander Collection,99040
11716.0,Addams Family Collection,11359
162028.0,Stakeout Collection,17182
85861.0,Beverly Hills Cop Collection,2054
150156.0,City Slickers Collection,10607
252313.0,The Endless Summer Collection,19760
