id_companies,id,name_companies
3,862,Pixar Animation Studios
559,8844,TriStar Pictures
2550,8844,Teitler Film
10201,8844,Interscope Communications
6194,15602,Warner Bros.
19464,15602,Lancaster Gate
306,31357,Twentieth Century Fox Film Corporation
5842,11862,Sandollar Productions
9195,11862,Touchstone Pictures
508,949,Regency Enterprises
675,949,Forward Pass
4,949,Warner Bros.
258,11860,Paramount Pictures
932,11860,Scott Rudin Productions
14941,11860,Mirage Enterprises
55873,11860,Sandollar Productions
58079,11860,Constellation Entertainment
2,11860,Worldwide
33,11860,Mont Blanc Entertainment GmbH
21437,45325,Walt Disney Pictures
23770,9091,Universal Pictures
60,9091,Imperial Entertainment
7576,9091,Signature Entertainment
5,710,United Artists
97,710,Eon Productions
6368,9087,Columbia Pictures
56,9087,Castle Rock Entertainment
4105,12110,Columbia Pictures
915,12110,Castle Rock Entertainment
1504,12110,Enigma Pictures
183,21032,Universal Pictures
415,21032,Amblin Entertainment
8411,21032,Amblimation
14723,10858,Hollywood Pictures
10898,10858,Cinergi Pictures Entertainment
11583,1408,Le Studio Canal+
11584,1408,Laurence Mark Productions
441,1408,Metro-Goldwyn-Mayer (MGM)
14,1408,Carolco Pictures
59,524,Universal Pictures
5682,524,Légende Entreprises
10210,524,Syalis DA
216,524,De Fina-Cappa
10104,4584,Columbia Pictures Corporation
1885,4584,Mirage Enterprises
5358,5,Miramax Films
10308,5,A Band Apart
23397,9273,O Entertainment
25061,9273,Warner Bros.
175,9273,Morgan Creek Productions
15547,11517,Columbia Pictures
12,8012,Jersey Films
288,8012,Metro-Goldwyn-Mayer (MGM)
311,1710,Regency Enterprises
590,1710,New Regency Pictures
591,9691,Silver Pictures
592,9691,Canal+
850,9691,Warner Bros.
851,9691,Dino De Laurentiis Company
1871,9691,Donner/Shuler-Donner Productions
6639,9691,Evansgideon/Lazar
7237,12665,Caravan Pictures
8170,12665,Hollywood Pictures
9335,451,United Artists
12009,451,Intial Productions
18367,16420,Columbia Pictures
25020,16420,Castle Rock Entertainment
25021,9263,New Line Cinema
25129,17015,BBC Films
47532,902,Procirep
68517,902,Constellation Productions
79437,902,France 3 Cinéma
79438,902,Claudie Ossard Productions
79439,902,Eurimages
2588,902,MEDIA Programme of the European Union
4507,902,Cofimage 5
23647,902,Televisión Española (TVE)
10103,902,Tele München Fernseh Produktionsgesellschaft (TMG)
10288,902,Club d'Investissement Média
507,902,Canal+ España
17031,902,Elías Querejeta Producciones Cinematográficas S.L.
70801,902,Centre National de la Cinématographie (CNC)
2537,902,Victoires Productions
694,902,Constellation
874,902,Lumière Pictures
8363,902,Canal+
19316,902,Studio Image
30226,902,Cofimage 4
31080,902,Ossane
44821,902,Phoenix Images
406,37557,Ministère des Affaires Étrangères
1382,37557,Alpha Films
10163,37557,La Sept Cinéma
53390,9909,Hollywood Pictures
6130,9909,Via Rosa Productions
11661,9909,Don Simpson/Jerry Bruckheimer Films
89131,63,Universal Pictures
53009,63,Atlas Entertainment
85681,63,Classico
89840,78802,Iwerks Entertainment
871,9598,Universal Pictures
34237,9598,Kennedy Miller Productions
476,47018,StudioCanal
4174,47018,Cinéa
364,47018,Euston Films
4286,47018,Freeway Films
65394,47018,European Co-production Fund
10217,47018,Polygram Filmed Entertainment
2480,47018,Orsans Productions
361,687,Havoc
9168,687,PolyGram Filmed Entertainment
1030,687,Working Title Films
7832,139405,Sony New Technologies
7320,33689,Dualstar Productions
10260,33689,Warner Bros.
802,33689,Rysher Entertainment
862,33689,Orr & Cruickshank
916,9603,Paramount Pictures
3492,34615,Miramax
5441,34615,Distant Horizon
11061,34615,Alpine Pty Limited
36390,31174,British Screen
38003,31174,Mayfair Entertainment International
82,11443,Caravan Pictures
1614,11443,Underworld Entertainment
3823,11443,Hollywood Pictures
7405,35196,Miramax Films
11705,9312,New Line Cinema
5841,9312,Threshold Entertainment
1742,577,The Rank Organisation
22123,577,Columbia Pictures Corporation
3388,11861,Universal Pictures
4899,11861,Amblin Entertainment
7958,807,New Line Cinema
23096,807,Juno Pix
23097,807,Cecchi Gori Pictures
23098,10530,Walt Disney Pictures
4606,10530,Walt Disney Feature Animation
83201,8391,Alliance Communications Corporation
93174,629,Blue Parrot Productions
38953,629,Bad Hat Harry Productions
38954,11448,Miramax Films
575,11448,Magnolia Pictures
576,26441,Walt Disney Pictures
