iso_639_1_languages,name_languages,id
en,English,862
fr,Français,8844
es,Español,8844
de,Deutsch,15602
ru,Pусский,31357
la,Latin,11862
nl,Nederlands,949
cn,广州话 / 廣州話,949
zh,普通话,11860
hu,Magyar,11860
sq,shqip,45325
it,Italiano,45325
ko,한국어/조선말,9091
fa,فارسی,710
da,Dansk,710
ja,日本語,710
ar,العربية,9087
hr,Hrvatski,12110
bs,Bosanski,12110
ro,Română,21032
id,Bahasa indonesia,10858
ms,Bahasa melayu,1408
sv,svenska,1408
he,עִבְרִית,524
cs,Český,4584
pl,Polski,5
ga,Gaeilge,9273
no,Norsk,11517
sk,Slovenčina,8012
vi,Tiếng Việt,1710
pt,Português,1710
hi,हिन्दी,9691
ca,Català,9691
is,Íslenska,9691
af,Afrikaans,12665
sr,Srpski,451
bn,বাংলা,16420
wo,Wolof,9263
cy,Cymraeg,17015
th,ภาษาไทย,902
lv,Latviešu,902
sw,Kiswahili,37557
bg,български език,9909
el,ελληνικά,63
tr,Türkçe,63
fi,suomi,78802
eo,Esperanto,9598
uk,Український,47018
ka,ქართული,687
nb,Bokmål,139405
xx,No Language,139405
eu,euskera,33689
az,Azərbaycan,9603
mt,Malti,9603
ur,اردو,34615
zu,isiZulu,31174
bm,Bamanankan,11443
ps,پښتو,35196
so,Somali,35196
pa,ਪੰਜਾਬੀ,9312
be,беларуская мова,577
ta,தமிழ்,11861
gl,Galego,807
rw,Kinyarwanda,10530
kk,қазақ,8391
et,Eesti,629
lt,Lietuvikai,629
sl,Slovenščina,629
te,తెలుగు,629
ff,Fulfulde,11448
ky,Кыргыз тили,49133
kn,ಕನ್ನಡ,49133
uz,ozbek,26441
ha,Hausa,26441
